16	586571
24	2353600
32	2533845
40	1134511
48	433585
56	1833278
64	2279446
72	235482
80	1360100
88	275925
96	193178
104	113060
112	160251
120	62014
128	48971
136	32838
144	49682
152	232620
160	23365
168	35719
176	25338
184	32164
192	22226
200	20133
208	11326
216	14958
224	8327
232	6908
240	9526
248	17297
256	5718
264	13391
272	4922
280	3706
288	7057
296	3692
304	6426
312	7725
320	3608
328	2661
336	4807
344	2413
352	2797
360	5917
368	2219
376	2114
384	6433
392	1744
400	2318
408	3603
416	1728
424	1371
432	4025
440	12114
448	1505
456	4083
464	1211
472	1420
480	1850
488	1457
496	1395
504	2201
512	1429
520	903
528	1539
536	731
544	785
552	5911
560	591
568	636
576	1419
584	5705
592	489
600	1349
608	690
616	628
624	1982
632	423
640	566
648	1080
656	544
664	573
672	2941
680	870
688	222
696	1232
704	471
712	273
720	827
728	333
736	396
744	867
752	324
760	264
768	720
776	259
784	426
792	622
800	397
808	244
816	1458
824	6050
832	698
840	521
848	137
856	198
864	1074
872	243
880	144
888	539
896	1166
904	275
912	545
920	190
928	631
936	1079
944	123
952	615
960	910
968	336
976	280
984	413
992	574
1000	118
1008	1131
1016	300
1024	528
1032	484
1040	116
1048	147
1056	966
1064	148
1072	121
1080	409
1088	672
1096	68
1104	368
1112	89
1120	505
1128	472
1136	656
1144	74
1152	941
1160	386
1168	39
1176	345
1184	569
1200	698
1208	58
1216	501
1224	358
1232	60
1248	847
1256	51
1272	331
1280	351
1288	32
1296	303
1304	110
1312	344
1320	376
1328	41
1344	600
1352	31
1360	63
1368	254
1376	465
1384	29
1392	310
1400	32
1408	322
1416	236
1424	63
1440	612
1448	46
1456	58
1464	202
1472	293
1480	48
1488	232
1496	27
1504	292
1512	178
1520	101
1536	485
1560	192
1568	315
1576	58
1584	193
1592	5047
1600	78
1608	156
1616	43
1632	330
1640	31
1656	156
1664	213
1680	171
1688	66
1696	104
1704	192
1712	36
1728	731
1736	58
1752	136
1760	181
1776	143
1784	50
1792	39
1800	128
1816	33
1824	410
1832	298
1848	186
1856	156
1864	28
1872	123
1880	34
1888	666
1896	286
1904	90
1920	344
1928	76
1944	126
1952	137
1968	115
1976	27
1984	142
1992	108
2000	65
2016	221
2024	35
2040	122
2048	97
2064	96
2072	56
2080	27
2088	118
2104	28
2112	222
2136	97
2144	148
2160	127
2176	135
2184	88
2192	30
2208	204
2232	312
2240	107
2248	495
2256	92
2280	87
2288	26
2296	30
2304	141
2320	36
2328	142
2336	54
2352	155
2360	34
2376	75
2392	26
2400	104
2408	44
2424	88
2432	86
2448	116
2472	77
2496	89
2504	46
2520	120
2528	55
2544	73
2560	28
2568	285
2592	106
2600	47
2616	88
2624	27
2640	100
2656	55
2664	57
2688	122
2696	29
2712	58
2736	90
2752	101
2760	58
2768	47
2784	86
2800	31
2808	40
2832	30
2856	64
2880	127
2904	74
2912	37
2928	94
2952	31
2968	466
2976	122
3000	111
3008	79
3024	65
3040	81
3048	72
3072	48
3096	40
3112	232
3120	29
3128	1118
3136	39
3144	66
3168	51
3192	49
3200	58
3216	29
3240	47
3264	30
3288	59
3312	29
3320	35
3336	29
3344	40
3360	82
3368	478
3384	31
3408	29
3424	556
3432	53
3440	474
3456	102
3504	39
3520	39
3552	82
3560	70
3584	39
3616	72
3624	143
3648	542
3672	522
3680	38
3712	28
3744	56
3752	26
3776	26
3784	35
3800	36
3808	52
3848	38
3856	26
3872	44
3888	32
3904	33
3912	500
3920	56
3928	40
3936	48
3944	66
3952	48
3960	134
3968	64
3976	64
3984	99
3992	64
4000	126
4008	91
4016	156
4024	157
4032	837
4040	1338
4048	1707
4056	1307
4064	3864
4072	2431
4080	3971
4088	3607
4096	6225
4320	96
4384	39
4480	31
4544	32
4760	32
4768	32
4960	30
5064	205
5272	28
5408	30
5440	27
5600	37
5664	34
5696	32
5728	63
5760	42
5912	37
6080	41
6200	557
6304	31
6816	30
7032	44
7072	30
7200	53
7208	55
7584	45
8128	30
8208	539
8232	525
8288	65
8808	26
9504	30
9760	28
9952	28
12328	31
12344	750
12672	30
16424	79
16440	463
16872	460
24632	37
32112	31
49208	470
65576	34
82248	35
150336	35
261824	35
261832	35
